,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
0,barking and dagenham,2002,166357,42803,15499,26662,25664,18257,13916,23556,3449,112221,,,,,,,,,,,,,,,,,,,,
1,barking and dagenham,2003,166210,42862,15831,26025,26267,18132,14149,22944,3615,142499,-147.0,-0.0008836418064764873,59.0,0.0013784080555101497,332.0,0.021420736821730513,-637.0,-0.02389168104418271,603.0,0.023495947630922664,-125.0,-0.006846688941227974,233.0,0.01674331704512788,-612.0,-0.02598064187468163,166.0,0.04812989272252821,30278.0,0.2698068988870175
2,barking and dagenham,2004,165610,42872,16136,25631,26398,18211,14115,22247,3616,158176,-600.0,-0.0036098911016184676,10.0,0.0002333068918856096,305.0,0.01926599709430854,-394.0,-0.015139289145052803,131.0,0.004987246354741792,79.0,0.004356938010147804,-34.0,-0.002402996678210423,-697.0,-0.030378312412831288,1.0,0.0002766251728907321,15677.0,0.1100148071214535
3,barking and dagenham,2005,166275,43792,15848,25884,26588,18491,14051,21621,2890,163360,665.0,0.004015458003743699,920.0,0.02145922746781115,-288.0,-0.01784828953891915,253.0,0.00987085950606681,190.0,0.007197514963254825,280.0,0.015375322607215525,-64.0,-0.004534183492738264,-626.0,-0.02813862543264256,-726.0,-0.20077433628318586,5184.0,0.032773619259558906
4,barking and dagenham,2006,167157,44717,15705,26016,26737,18894,14117,20971,3654,167853,882.0,0.005304465493910726,925.0,0.021122579466569258,-143.0,-0.009023220595658743,132.0,0.005099675475197074,149.0,0.0056040318940875355,403.0,0.021794386458277026,66.0,0.00469717457832175,-650.0,-0.030063364321724295,764.0,0.26435986159169556,4493.0,0.02750367286973554
5,barking and dagenham,2007,169031,46529,15503,26516,26851,19283,13999,20350,3985,184909,1874.0,0.011211017187434669,1812.0,0.04052150188966164,-202.0,-0.012862145813435255,500.0,0.019218942189421995,114.0,0.004263754347907378,389.0,0.020588546628559357,-118.0,-0.008358716441170255,-621.0,-0.029612321777693018,331.0,0.0905856595511767,17056.0,0.1016127206543822
6,barking and dagenham,2008,172452,48309,15738,27647,26871,19958,13975,19954,1688,187356,3421.0,0.020238891090983202,1780.0,0.03825571149175788,235.0,0.015158356447139365,1131.0,0.042653492231105705,20.0,0.0007448512159695664,675.0,0.03500492661930199,-24.0,-0.001714408172012294,-396.0,-0.019459459459459483,-2297.0,-0.5764115432873275,2447.0,0.013233536496330522
7,barking and dagenham,2009,177580,50506,16268,28671,27349,20837,14266,19683,1262,156446,5128.0,0.029735810544383456,2197.0,0.0454780682688527,530.0,0.03367645189986024,1024.0,0.03703837667739718,478.0,0.01778869413121953,879.0,0.04404248922737741,291.0,0.020822898032200277,-271.0,-0.013581236844742883,-426.0,-0.25236966824644547,-30910.0,-0.16498003800251926
8,barking and dagenham,2010,182838,52318,17076,29825,27999,21747,14370,19503,1453,166560,5258.0,0.02960919022412445,1812.0,0.035876925513800284,808.0,0.04966805999508228,1154.0,0.04024972969202323,650.0,0.023766865333284537,910.0,0.04367231367279367,104.0,0.007290060283190902,-180.0,-0.009144947416552363,191.0,0.15134706814580023,10114.0,0.06464850491543417
9,barking and dagenham,2011,187029,53814,17979,30412,28393,22489,14603,19339,1458,163465,4191.0,0.022921930889640008,1496.0,0.028594365228028495,903.0,0.05288123682361201,587.0,0.019681475272422366,394.0,0.014071931140397842,742.0,0.03411964868717532,233.0,0.016214335421016024,-164.0,-0.008408962723683522,5.0,0.0034411562284928365,-3095.0,-0.018581892411143164
10,barking and dagenham,2012,190560,55647,18013,30769,28773,23149,14692,19517,1342,165863,3531.0,0.018879425115891024,1833.0,0.03406176831307839,34.0,0.0018910951665831455,357.0,0.011738787320794364,380.0,0.013383580459972455,660.0,0.02934768108853225,89.0,0.006094638088063986,178.0,0.009204198769326322,-116.0,-0.07956104252400553,2398.0,0.014669806992322565
11,barking and dagenham,2013,194352,57605,17673,31351,29305,23856,15023,19539,1788,173733,3792.0,0.019899244332493682,1958.0,0.03518608370621967,-340.0,-0.018875256759007364,582.0,0.018915141863564022,532.0,0.01848955618114201,707.0,0.03054127608104018,331.0,0.02252926762864149,22.0,0.0011272224214786686,446.0,0.33233979135618474,7870.0,0.04744879810445979
12,barking and dagenham,2014,198294,59106,17836,31949,29867,24355,15525,19656,2259,201172,3942.0,0.020282785873054987,1501.0,0.026056765905737356,163.0,0.009223108696882143,598.0,0.01907435169532068,562.0,0.019177614741511695,499.0,0.020917169684775416,502.0,0.033415429674499064,117.0,0.0059880239520957446,471.0,0.2634228187919463,27439.0,0.1579377550609269
13,barking and dagenham,2015,201979,60374,17870,32511,30432,25024,16162,19606,2405,233460,3685.0,0.018583517403451433,1268.0,0.021452982776706264,34.0,0.0019062570082977182,562.0,0.017590534915020717,565.0,0.018917199584826072,669.0,0.02746869226031623,637.0,0.04103059581320445,-50.0,-0.0025437525437524977,146.0,0.06463036741921213,32288.0,0.16049947308770607
14,barnet,2002,320552,72162,28698,56459,49927,38724,29377,45205,7315,220746,,,,,,,,,,,,,,,,,,,,
15,barnet,2003,321802,73122,28399,55841,50510,38708,30223,44999,6208,251212,1250.0,0.0038995233222691716,960.0,0.01330340068179936,-299.0,-0.010418844518781833,-618.0,-0.010945996209638875,583.0,0.011677048490796649,-16.0,-0.00041318045656435487,846.0,0.028798039282431853,-206.0,-0.004557018028979121,-1107.0,-0.1513328776486671,30466.0,0.13801382584508892
16,barnet,2004,323723,73985,28343,55568,51057,38901,30956,44913,6691,271854,1921.0,0.005969509201310119,863.0,0.011802193594267152,-56.0,-0.001971900419028838,-273.0,-0.004888880929782791,547.0,0.010829538705206865,193.0,0.004986049395473868,733.0,0.02425305231115371,-86.0,-0.00191115358119065,483.0,0.07780283505154628,20642.0,0.08216964157763162
